DATE,PCU9241269241261
1998-06-01,100.0
1998-07-01,99.9
1998-08-01,99.8
1998-09-01,99.7
1998-10-01,99.7
1998-11-01,99.9
1998-12-01,99.9
1999-01-01,100.1
1999-02-01,100.1
1999-03-01,99.9
1999-04-01,99.8
1999-05-01,99.7
1999-06-01,99.6
1999-07-01,99.4
1999-08-01,99.4
1999-09-01,99.3
1999-10-01,99.4
1999-11-01,99.4
1999-12-01,99.5
2000-01-01,99.6
2000-02-01,99.7
2000-03-01,99.8
2000-04-01,99.8
2000-05-01,99.9
2000-06-01,100.0
2000-07-01,100.1
2000-08-01,100.3
2000-09-01,100.4
2000-10-01,100.7
2000-11-01,100.8
2000-12-01,101.0
2001-01-01,101.2
2001-02-01,101.5
2001-03-01,101.7
2001-04-01,102.0
2001-05-01,102.3
2001-06-01,102.6
2001-07-01,102.8
2001-08-01,103.1
2001-09-01,103.4
2001-10-01,103.7
2001-11-01,104.4
2001-12-01,105.3
2002-01-01,105.9
2002-02-01,106.6
2002-03-01,107.3
2002-04-01,108.0
2002-05-01,108.5
2002-06-01,109.1
2002-07-01,109.6
2002-08-01,110.2
2002-09-01,110.7
2002-10-01,111.5
2002-11-01,112.4
2002-12-01,113.6
2003-01-01,114.5
2003-02-01,115.2
2003-03-01,116.3
2003-04-01,116.9
2003-05-01,117.3
2003-06-01,118.2
2003-07-01,118.4
2003-08-01,118.8
2003-09-01,119.0
2003-10-01,119.7
2003-11-01,119.8
2003-12-01,119.6
2004-01-01,120.1
2004-02-01,120.5
2004-03-01,120.9
2004-04-01,121.1
2004-05-01,121.3
2004-06-01,121.4
2004-07-01,121.7
2004-08-01,122.0
2004-09-01,122.2
2004-10-01,122.3
2004-11-01,122.3
2004-12-01,122.7
2005-01-01,123.2
2005-02-01,123.3
2005-03-01,123.6
2005-04-01,123.7
2005-05-01,123.6
2005-06-01,123.6
2005-07-01,123.6
2005-08-01,123.7
2005-09-01,123.7
2005-10-01,123.7
2005-11-01,123.7
2005-12-01,123.7
2006-01-01,123.6
2006-02-01,123.6
2006-03-01,123.8
2006-04-01,123.6
2006-05-01,124.0
2006-06-01,123.9
2006-07-01,123.7
2006-08-01,123.6
2006-09-01,123.6
2006-10-01,123.7
2006-11-01,124.0
2006-12-01,124.2
2007-01-01,124.4
2007-02-01,124.1
2007-03-01,124.0
2007-04-01,123.5
2007-05-01,122.8
2007-06-01,123.1
2007-07-01,123.1
2007-08-01,123.3
2007-09-01,123.7
2007-10-01,124.2
2007-11-01,124.4
2007-12-01,124.6
2008-01-01,124.9
2008-02-01,124.8
2008-03-01,125.1
2008-04-01,125.3
2008-05-01,125.3
2008-06-01,125.4
2008-07-01,125.4
2008-08-01,125.4
2008-09-01,125.6
2008-10-01,126.0
2008-11-01,126.7
2008-12-01,127.0
2009-01-01,127.5
2009-02-01,127.9
2009-03-01,128.2
2009-04-01,128.5
2009-05-01,128.3
2009-06-01,129.1
2009-07-01,129.3
2009-08-01,129.7
2009-09-01,130.0
2009-10-01,131.9
2009-11-01,131.8
2009-12-01,131.8
2010-01-01,132.1
2010-02-01,132.3
2010-03-01,132.5
2010-04-01,132.5
2010-05-01,132.6
2010-06-01,132.7
2010-07-01,132.7
2010-08-01,132.9
2010-09-01,133.4
2010-10-01,134.6
2010-11-01,135.0
2010-12-01,135.1
2011-01-01,135.8
2011-02-01,135.9
2011-03-01,136.7
2011-04-01,138.2
2011-05-01,138.5
2011-06-01,138.4
2011-07-01,138.7
2011-08-01,139.5
2011-09-01,139.7
2011-10-01,141.3
2011-11-01,141.9
2011-12-01,141.8
2012-01-01,142.2
2012-02-01,142.3
2012-03-01,142.5
2012-04-01,143.2
2012-05-01,143.3
2012-06-01,143.5
2012-07-01,144.2
2012-08-01,144.3
2012-09-01,144.4
2012-10-01,145.2
2012-11-01,145.5
2012-12-01,145.6
2013-01-01,146.0
2013-02-01,146.2
2013-03-01,146.3
2013-04-01,146.2
2013-05-01,146.4
2013-06-01,146.6
2013-07-01,147.1
2013-08-01,147.3
2013-09-01,147.4
2013-10-01,147.5
2013-11-01,148.0
2013-12-01,148.1
2014-01-01,148.5
2014-02-01,148.7
2014-03-01,148.7
2014-04-01,150.3
2014-05-01,150.3
2014-06-01,150.4
2014-07-01,150.4
2014-08-01,150.5
2014-09-01,150.5
2014-10-01,150.6
2014-11-01,152.7
2014-12-01,152.7
2015-01-01,152.1
2015-02-01,152.6
2015-03-01,152.6
2015-04-01,153.5
2015-05-01,153.7
2015-06-01,153.9
2015-07-01,154.7
2015-08-01,155.1
2015-09-01,155.2
2015-10-01,156.7
2015-11-01,157.2
2015-12-01,157.9
2016-01-01,158.4
2016-02-01,159.0
2016-03-01,158.9
2016-04-01,160.5
2016-05-01,160.7
2016-06-01,160.9
2016-07-01,162.2
