,realtime_start,realtime_end,date,value
0,2024-08-13,2024-08-13,1998-06-01,100.0
1,2024-08-13,2024-08-13,1998-07-01,99.9
2,2024-08-13,2024-08-13,1998-08-01,99.8
3,2024-08-13,2024-08-13,1998-09-01,99.7
4,2024-08-13,2024-08-13,1998-10-01,99.7
5,2024-08-13,2024-08-13,1998-11-01,99.9
6,2024-08-13,2024-08-13,1998-12-01,99.9
7,2024-08-13,2024-08-13,1999-01-01,100.1
8,2024-08-13,2024-08-13,1999-02-01,100.1
9,2024-08-13,2024-08-13,1999-03-01,99.9
10,2024-08-13,2024-08-13,1999-04-01,99.8
11,2024-08-13,2024-08-13,1999-05-01,99.7
12,2024-08-13,2024-08-13,1999-06-01,99.6
13,2024-08-13,2024-08-13,1999-07-01,99.4
14,2024-08-13,2024-08-13,1999-08-01,99.4
15,2024-08-13,2024-08-13,1999-09-01,99.3
16,2024-08-13,2024-08-13,1999-10-01,99.4
17,2024-08-13,2024-08-13,1999-11-01,99.4
18,2024-08-13,2024-08-13,1999-12-01,99.5
19,2024-08-13,2024-08-13,2000-01-01,99.6
20,2024-08-13,2024-08-13,2000-02-01,99.7
21,2024-08-13,2024-08-13,2000-03-01,99.8
22,2024-08-13,2024-08-13,2000-04-01,99.8
23,2024-08-13,2024-08-13,2000-05-01,99.9
24,2024-08-13,2024-08-13,2000-06-01,100.0
25,2024-08-13,2024-08-13,2000-07-01,100.1
26,2024-08-13,2024-08-13,2000-08-01,100.3
27,2024-08-13,2024-08-13,2000-09-01,100.4
28,2024-08-13,2024-08-13,2000-10-01,100.7
29,2024-08-13,2024-08-13,2000-11-01,100.8
30,2024-08-13,2024-08-13,2000-12-01,101.0
31,2024-08-13,2024-08-13,2001-01-01,101.2
32,2024-08-13,2024-08-13,2001-02-01,101.5
33,2024-08-13,2024-08-13,2001-03-01,101.7
34,2024-08-13,2024-08-13,2001-04-01,102.0
35,2024-08-13,2024-08-13,2001-05-01,102.3
36,2024-08-13,2024-08-13,2001-06-01,102.6
37,2024-08-13,2024-08-13,2001-07-01,102.8
38,2024-08-13,2024-08-13,2001-08-01,103.1
39,2024-08-13,2024-08-13,2001-09-01,103.4
40,2024-08-13,2024-08-13,2001-10-01,103.7
41,2024-08-13,2024-08-13,2001-11-01,104.4
42,2024-08-13,2024-08-13,2001-12-01,105.3
43,2024-08-13,2024-08-13,2002-01-01,105.9
44,2024-08-13,2024-08-13,2002-02-01,106.6
45,2024-08-13,2024-08-13,2002-03-01,107.3
46,2024-08-13,2024-08-13,2002-04-01,108.0
47,2024-08-13,2024-08-13,2002-05-01,108.5
48,2024-08-13,2024-08-13,2002-06-01,109.1
49,2024-08-13,2024-08-13,2002-07-01,109.6
50,2024-08-13,2024-08-13,2002-08-01,110.2
51,2024-08-13,2024-08-13,2002-09-01,110.7
52,2024-08-13,2024-08-13,2002-10-01,111.5
53,2024-08-13,2024-08-13,2002-11-01,112.4
54,2024-08-13,2024-08-13,2002-12-01,113.6
55,2024-08-13,2024-08-13,2003-01-01,114.5
56,2024-08-13,2024-08-13,2003-02-01,115.2
57,2024-08-13,2024-08-13,2003-03-01,116.3
58,2024-08-13,2024-08-13,2003-04-01,116.9
59,2024-08-13,2024-08-13,2003-05-01,117.3
60,2024-08-13,2024-08-13,2003-06-01,118.2
61,2024-08-13,2024-08-13,2003-07-01,118.4
62,2024-08-13,2024-08-13,2003-08-01,118.8
63,2024-08-13,2024-08-13,2003-09-01,119.0
64,2024-08-13,2024-08-13,2003-10-01,119.7
65,2024-08-13,2024-08-13,2003-11-01,119.8
66,2024-08-13,2024-08-13,2003-12-01,119.6
67,2024-08-13,2024-08-13,2004-01-01,120.1
68,2024-08-13,2024-08-13,2004-02-01,120.5
69,2024-08-13,2024-08-13,2004-03-01,120.9
70,2024-08-13,2024-08-13,2004-04-01,121.1
71,2024-08-13,2024-08-13,2004-05-01,121.3
72,2024-08-13,2024-08-13,2004-06-01,121.4
73,2024-08-13,2024-08-13,2004-07-01,121.7
74,2024-08-13,2024-08-13,2004-08-01,122.0
75,2024-08-13,2024-08-13,2004-09-01,122.2
76,2024-08-13,2024-08-13,2004-10-01,122.3
77,2024-08-13,2024-08-13,2004-11-01,122.3
78,2024-08-13,2024-08-13,2004-12-01,122.7
79,2024-08-13,2024-08-13,2005-01-01,123.2
80,2024-08-13,2024-08-13,2005-02-01,123.3
81,2024-08-13,2024-08-13,2005-03-01,123.6
82,2024-08-13,2024-08-13,2005-04-01,123.7
83,2024-08-13,2024-08-13,2005-05-01,123.6
84,2024-08-13,2024-08-13,2005-06-01,123.6
85,2024-08-13,2024-08-13,2005-07-01,123.6
86,2024-08-13,2024-08-13,2005-08-01,123.7
87,2024-08-13,2024-08-13,2005-09-01,123.7
88,2024-08-13,2024-08-13,2005-10-01,123.7
89,2024-08-13,2024-08-13,2005-11-01,123.7
90,2024-08-13,2024-08-13,2005-12-01,123.7
91,2024-08-13,2024-08-13,2006-01-01,123.6
92,2024-08-13,2024-08-13,2006-02-01,123.6
93,2024-08-13,2024-08-13,2006-03-01,123.8
94,2024-08-13,2024-08-13,2006-04-01,123.6
95,2024-08-13,2024-08-13,2006-05-01,124.0
96,2024-08-13,2024-08-13,2006-06-01,123.9
97,2024-08-13,2024-08-13,2006-07-01,123.7
98,2024-08-13,2024-08-13,2006-08-01,123.6
99,2024-08-13,2024-08-13,2006-09-01,123.6
100,2024-08-13,2024-08-13,2006-10-01,123.7
101,2024-08-13,2024-08-13,2006-11-01,124.0
102,2024-08-13,2024-08-13,2006-12-01,124.2
103,2024-08-13,2024-08-13,2007-01-01,124.4
104,2024-08-13,2024-08-13,2007-02-01,124.1
105,2024-08-13,2024-08-13,2007-03-01,124.0
106,2024-08-13,2024-08-13,2007-04-01,123.5
107,2024-08-13,2024-08-13,2007-05-01,122.8
108,2024-08-13,2024-08-13,2007-06-01,123.1
109,2024-08-13,2024-08-13,2007-07-01,123.1
110,2024-08-13,2024-08-13,2007-08-01,123.3
111,2024-08-13,2024-08-13,2007-09-01,123.7
112,2024-08-13,2024-08-13,2007-10-01,124.2
113,2024-08-13,2024-08-13,2007-11-01,124.4
114,2024-08-13,2024-08-13,2007-12-01,124.6
115,2024-08-13,2024-08-13,2008-01-01,124.9
116,2024-08-13,2024-08-13,2008-02-01,124.8
117,2024-08-13,2024-08-13,2008-03-01,125.1
118,2024-08-13,2024-08-13,2008-04-01,125.3
119,2024-08-13,2024-08-13,2008-05-01,125.3
120,2024-08-13,2024-08-13,2008-06-01,125.4
121,2024-08-13,2024-08-13,2008-07-01,125.4
122,2024-08-13,2024-08-13,2008-08-01,125.4
123,2024-08-13,2024-08-13,2008-09-01,125.6
124,2024-08-13,2024-08-13,2008-10-01,126.0
125,2024-08-13,2024-08-13,2008-11-01,126.7
126,2024-08-13,2024-08-13,2008-12-01,127.0
127,2024-08-13,2024-08-13,2009-01-01,127.5
128,2024-08-13,2024-08-13,2009-02-01,127.9
129,2024-08-13,2024-08-13,2009-03-01,128.2
130,2024-08-13,2024-08-13,2009-04-01,128.5
131,2024-08-13,2024-08-13,2009-05-01,128.3
132,2024-08-13,2024-08-13,2009-06-01,129.1
133,2024-08-13,2024-08-13,2009-07-01,129.3
134,2024-08-13,2024-08-13,2009-08-01,129.7
135,2024-08-13,2024-08-13,2009-09-01,130.0
136,2024-08-13,2024-08-13,2009-10-01,131.9
137,2024-08-13,2024-08-13,2009-11-01,131.8
138,2024-08-13,2024-08-13,2009-12-01,131.8
139,2024-08-13,2024-08-13,2010-01-01,132.1
140,2024-08-13,2024-08-13,2010-02-01,132.3
141,2024-08-13,2024-08-13,2010-03-01,132.5
142,2024-08-13,2024-08-13,2010-04-01,132.5
143,2024-08-13,2024-08-13,2010-05-01,132.6
144,2024-08-13,2024-08-13,2010-06-01,132.7
145,2024-08-13,2024-08-13,2010-07-01,132.7
146,2024-08-13,2024-08-13,2010-08-01,132.9
147,2024-08-13,2024-08-13,2010-09-01,133.4
148,2024-08-13,2024-08-13,2010-10-01,134.6
149,2024-08-13,2024-08-13,2010-11-01,135.0
150,2024-08-13,2024-08-13,2010-12-01,135.1
151,2024-08-13,2024-08-13,2011-01-01,135.8
152,2024-08-13,2024-08-13,2011-02-01,135.9
153,2024-08-13,2024-08-13,2011-03-01,136.7
154,2024-08-13,2024-08-13,2011-04-01,138.2
155,2024-08-13,2024-08-13,2011-05-01,138.5
156,2024-08-13,2024-08-13,2011-06-01,138.4
157,2024-08-13,2024-08-13,2011-07-01,138.7
158,2024-08-13,2024-08-13,2011-08-01,139.5
159,2024-08-13,2024-08-13,2011-09-01,139.7
160,2024-08-13,2024-08-13,2011-10-01,141.3
161,2024-08-13,2024-08-13,2011-11-01,141.9
162,2024-08-13,2024-08-13,2011-12-01,141.8
163,2024-08-13,2024-08-13,2012-01-01,142.2
164,2024-08-13,2024-08-13,2012-02-01,142.3
165,2024-08-13,2024-08-13,2012-03-01,142.5
166,2024-08-13,2024-08-13,2012-04-01,143.2
167,2024-08-13,2024-08-13,2012-05-01,143.3
168,2024-08-13,2024-08-13,2012-06-01,143.5
169,2024-08-13,2024-08-13,2012-07-01,144.2
170,2024-08-13,2024-08-13,2012-08-01,144.3
171,2024-08-13,2024-08-13,2012-09-01,144.4
172,2024-08-13,2024-08-13,2012-10-01,145.2
173,2024-08-13,2024-08-13,2012-11-01,145.5
174,2024-08-13,2024-08-13,2012-12-01,145.6
175,2024-08-13,2024-08-13,2013-01-01,146.0
176,2024-08-13,2024-08-13,2013-02-01,146.2
177,2024-08-13,2024-08-13,2013-03-01,146.3
178,2024-08-13,2024-08-13,2013-04-01,146.2
179,2024-08-13,2024-08-13,2013-05-01,146.4
180,2024-08-13,2024-08-13,2013-06-01,146.6
181,2024-08-13,2024-08-13,2013-07-01,147.1
182,2024-08-13,2024-08-13,2013-08-01,147.3
183,2024-08-13,2024-08-13,2013-09-01,147.4
184,2024-08-13,2024-08-13,2013-10-01,147.5
185,2024-08-13,2024-08-13,2013-11-01,148.0
186,2024-08-13,2024-08-13,2013-12-01,148.1
187,2024-08-13,2024-08-13,2014-01-01,148.5
188,2024-08-13,2024-08-13,2014-02-01,148.7
189,2024-08-13,2024-08-13,2014-03-01,148.7
190,2024-08-13,2024-08-13,2014-04-01,150.3
191,2024-08-13,2024-08-13,2014-05-01,150.3
192,2024-08-13,2024-08-13,2014-06-01,150.4
193,2024-08-13,2024-08-13,2014-07-01,150.4
194,2024-08-13,2024-08-13,2014-08-01,150.5
195,2024-08-13,2024-08-13,2014-09-01,150.5
196,2024-08-13,2024-08-13,2014-10-01,150.6
197,2024-08-13,2024-08-13,2014-11-01,152.7
198,2024-08-13,2024-08-13,2014-12-01,152.7
199,2024-08-13,2024-08-13,2015-01-01,152.1
200,2024-08-13,2024-08-13,2015-02-01,152.6
201,2024-08-13,2024-08-13,2015-03-01,152.6
202,2024-08-13,2024-08-13,2015-04-01,153.5
203,2024-08-13,2024-08-13,2015-05-01,153.7
204,2024-08-13,2024-08-13,2015-06-01,153.9
205,2024-08-13,2024-08-13,2015-07-01,154.7
206,2024-08-13,2024-08-13,2015-08-01,155.1
207,2024-08-13,2024-08-13,2015-09-01,155.2
208,2024-08-13,2024-08-13,2015-10-01,156.7
209,2024-08-13,2024-08-13,2015-11-01,157.2
210,2024-08-13,2024-08-13,2015-12-01,157.9
211,2024-08-13,2024-08-13,2016-01-01,158.4
212,2024-08-13,2024-08-13,2016-02-01,159.0
213,2024-08-13,2024-08-13,2016-03-01,158.9
