,Labor Force,Employed,Unemployed,Unemployment Rate(%),Labor Force Participation Rate(%),Employment to Population Rate(%),Date
0,2788405,2634738,153667,5.5,65.6,62.0,1980-01-01
1,2815303,2643849,171454,6.1,66.1,62.0,1980-02-01
2,2811899,2652053,159846,5.7,65.9,62.1,1980-03-01
3,2827282,2670416,156866,5.5,66.1,62.4,1980-04-01
4,2865216,2684502,180714,6.3,66.9,62.6,1980-05-01
5,2896804,2682762,214042,7.4,67.5,62.5,1980-06-01
6,2928082,2692601,235481,8.0,68.1,62.7,1980-07-01
7,2911515,2708467,203048,7.0,67.6,62.9,1980-08-01
8,2850045,2672727,177318,6.2,66.1,62.0,1980-09-01
9,2863074,2680427,182647,6.4,66.3,62.1,1980-10-01
10,2853103,2669798,183305,6.4,66.0,61.8,1980-11-01
11,2855578,2685690,169888,5.9,66.0,62.1,1980-12-01
12,2832962,2632205,200757,7.1,65.4,60.7,1981-01-01
13,2855843,2649987,205856,7.2,65.8,61.1,1981-02-01
14,2869584,2680451,189133,6.6,66.0,61.7,1981-03-01
15,2879487,2715206,164281,5.7,66.1,62.4,1981-04-01
16,2908928,2738508,170420,5.9,66.7,62.8,1981-05-01
17,2925100,2740588,184512,6.3,67.0,62.8,1981-06-01
18,2950304,2785895,164409,5.6,67.5,63.7,1981-07-01
19,2944524,2786172,158352,5.4,67.3,63.7,1981-08-01
20,2865162,2723868,141294,4.9,65.4,62.1,1981-09-01
21,2924437,2724408,200029,6.8,66.6,62.1,1981-10-01
22,2938561,2716030,222531,7.6,66.9,61.8,1981-11-01
23,2924980,2693555,231425,7.9,66.5,61.2,1981-12-01
24,2897451,2620833,276618,9.5,65.8,59.5,1982-01-01
25,2915103,2636949,278154,9.5,66.1,59.8,1982-02-01
26,2924171,2645837,278334,9.5,66.2,59.9,1982-03-01
27,2900129,2656725,243404,8.4,65.6,60.1,1982-04-01
28,2956053,2694776,261277,8.8,66.7,60.8,1982-05-01
29,2967684,2687617,280067,9.4,66.9,60.6,1982-06-01
30,3024921,2728599,296322,9.8,68.1,61.4,1982-07-01
31,2999845,2731281,268564,9.0,67.5,61.4,1982-08-01
32,2935679,2687320,248359,8.5,66.0,60.4,1982-09-01
33,2930516,2658087,272429,9.3,65.8,59.7,1982-10-01
34,2937336,2646151,291185,9.9,65.9,59.4,1982-11-01
35,2915570,2642644,272926,9.4,65.4,59.2,1982-12-01
36,2890399,2584061,306338,10.6,64.7,57.9,1983-01-01
37,2896214,2578783,317431,11.0,64.8,57.7,1983-02-01
38,2890082,2596837,293245,10.1,64.6,58.1,1983-03-01
